,0
1250,Military personnel from Kingston upon Hull
15791,Military personnel from Lancashire
969,Military personnel from Leeds
18532,Military personnel from Leicestershire
4605,Military personnel from London
2788,Military personnel from Manchester
1878,Military personnel from Massachusetts
8695,Military personnel from Melbourne
16491,Military personnel from Middlesex
14501,Military personnel from Milwaukee
11277,Military personnel from New Jersey
15427,Military personnel from New South Wales
11665,Military personnel from New York (state)
17684,Military personnel from New York City
16306,Military personnel from Norfolk
14487,Military personnel from Northumberland
13958,Military personnel from Norwich
5970,Military personnel from Nottingham
17076,Military personnel from Ohio
15797,Military personnel from Oxfordshire
7474,Military personnel from Pembrokeshire
6871,Military personnel from Pennsylvania
14431,"Military personnel from Plymouth, Devon"
11001,Military personnel from Portsmouth
13348,"Military personnel from Preston, Lancashire"
9826,Military personnel from Shropshire
8604,Military personnel from Somerset
314,Military personnel from Southampton
5487,Military personnel from Staffordshire
18228,Military personnel from Suffolk
5020,Military personnel from Surrey
3447,Military personnel from Sussex
10139,Military personnel from Toronto
11876,Military personnel from Warwickshire
15910,Military personnel from Western Australia
13026,Military personnel from Wiltshire
11494,Military personnel from Wisconsin
3642,Military personnel from Worcestershire
1324,Military personnel from York
16347,Military personnel from Yorkshire
8214,Military personnel killed by friendly fire
3933,Military personnel of British India
3396,Military psychiatrists
16990,Military science fiction writers
7252,Military snipers
8681,Milliners
7795,Millwall F.C. players
6602,Milton Keynes Dons F.C. non-playing staff
3057,Milwaukee Area Technical College alumni
10145,Milwaukee Badgers players
4963,Minimalist composers
7673,Ministers for Universities (United Kingdom)
11452,Ministers for Women and Equalities
16994,"Ministers in the Attlee governments, 1945–1951"
12195,"Ministers in the Churchill caretaker government, 1945"
15827,"Ministers in the Churchill wartime government, 1940–1945"
15107,"Ministers in the Eden government, 1955–1957"
11110,"Ministers in the Macmillan and Douglas-Home governments, 1957–1964"
11092,"Ministers in the Wilson governments, 1964–1970"
12347,"Ministers in the third Churchill government, 1951–1955"
5715,Ministers of Finance of Norway
7922,Ministers of Trade and Shipping of Norway
1622,Ministers of the Northern Ireland Executive (since 1999)
14377,Minnesota Democrats
5332,Minnesota Public Radio people
5928,Minor Counties cricketers
10319,Mir crew members
13703,Mirage Records artists
6230,Mirvish family
10266,Misotheists
12368,Missing person cases in Lebanon
12552,Missing person cases in Spain
11949,Missouri Democrats
11262,Missouri State University alumni
16208,Mistresses of John F. Kennedy
18820,Mitford family
8718,Mixed martial arts broadcasters
13609,Mod revival musicians
1475,Models from London
13667,Models from New York City
18047,Modern Orthodox rabbis
11768,Modern Records artists
11266,Modern artists
18303,Modern dancers
7401,Modern painters
13613,Modern printmakers
3535,Modern sculptors
4985,Modern synthesis (20th century)
296,Moderna people
17631,Modernist architects from England
5160,Modernist architects from Scotland
923,Modernist composers
13998,Modernist theatre
17689,Modernist women writers
14942,Modernist writers
4327,Moers Music artists
8344,Molecular gastronomy
17713,Mond family
5592,Mondelez International brands
8997,Monegasque film actresses
5032,Monetary economists
11302,Money managers
3408,Monologists
17760,Monty Python
18148,Monty Python members
14344,Monument Records artists
177,Moorhouse–Rhodes family
1666,Moral psychology
14630,Moravian-German people
2163,Morecambe and Wise
15971,Morris West
3201,Morrissey
11966,Mortimer family (drama)
14688,Moscow Conservatory alumni
17349,Moscow Institute of Physics and Technology alumni
11825,Moscow State Institute of International Relations alumni
14259,Mosley family
5031,Motorboat racers who died while racing
17608,Motorcycle trials riders
5362,Motorsport announcers
3576,Motown
10117,Motown artists
14951,Mount Everest
4406,Mountaineering deaths
9144,Mountaineering film directors
6794,Moving Hearts members
7332,Mozarteum University Salzburg alumni
3160,Mr. Bean
7554,Muhajir people
3512,Multilingual writers
18556,Muppet performers
15833,Muses
8516,Music & Arts artists
12900,Music Academy of the West alumni
12221,Music Academy of the West faculty
1000,Music Academy of the West founders
1947,Music YouTubers
4419,Music based on Doctor Who
11903,Music directors
5428,Music directors (opera)
17921,Music directors of the Berlin State Opera
14932,Music directors of the New York Philharmonic
18164,Music directors of the Philadelphia Orchestra
18072,Music directors of the Vienna State Opera
9109,Music hall performers
14661,Music in Oxford
749,Music in Salford
13444,Music in the Metropolitan Borough of Bury
5967,Music in the Metropolitan Borough of Wigan
5377,Music of St. Louis
7903,Music promoters
7845,Music psychologists
1705,Music video directors
1116,MusicBrainz artist different from Wikidata
2689,MusicBrainz artist same as Wikidata
1683,Musical theatre characters
4613,Musical theatre directors
5273,Musical theatre lyricists
5751,Musicians awarded knighthoods
5540,Musicians from Aberdeen
18887,Musicians from Amsterdam
12199,"Musicians from Augusta, Georgia"
16992,Musicians from Baltimore
13360,"Musicians from Bath, Somerset"
18801,Musicians from Belfast
11377,Musicians from Berkshire
15758,Musicians from Berlin
8908,"Musicians from Birmingham, Alabama"
9358,"Musicians from Birmingham, West Midlands"
5755,Musicians from Bordeaux
4612,Musicians from Boston
4581,Musicians from Bournemouth
13038,Musicians from Bristol
6630,Musicians from Brooklyn
15974,Musicians from Budapest
15992,Musicians from Buenos Aires
9992,Musicians from California
17207,"Musicians from Cambridge, Massachusetts"
333,Musicians from Cambridgeshire
9915,"Musicians from Canton, Ohio"
4806,Musicians from Cardiff
16649,Musicians from Chicago
11256,Musicians from Connecticut
10273,Musicians from Copenhagen
8142,Musicians from County Dublin
15588,Musicians from County Durham
9085,Musicians from County Kildare
15844,Musicians from County Mayo
2916,Musicians from County Wexford
17978,Musicians from Coventry
5223,Musicians from Detroit
9797,Musicians from East Dunbartonshire
4712,"Musicians from East Orange, New Jersey"
576,Musicians from Edinburgh
10024,Musicians from Essex
7510,Musicians from Florence
14788,Musicians from Glasgow
4458,Musicians from Gloucestershire
15131,"Musicians from Greenwich, Connecticut"
2415,Musicians from Guelph
18232,Musicians from Hamar
13577,Musicians from Hamburg
15774,"Musicians from Hartford, Connecticut"
15990,Musicians from Hastings
5269,Musicians from Hertfordshire
11050,"Musicians from Kansas City, Missouri"
12261,Musicians from Kent
12237,"Musicians from Kingston, Jamaica"
1360,Musicians from Kirkintilloch
953,Musicians from Lancashire
15093,Musicians from Leeds
18472,Musicians from Leicestershire
16283,Musicians from Leipzig
10185,Musicians from Lenzie
3131,Musicians from Lincolnshire
8371,Musicians from Linz
2173,Musicians from Liverpool
6206,Musicians from London
2458,"Musicians from Long Beach, California"
11736,Musicians from Los Angeles
9999,"Musicians from Louisville, Kentucky"
8527,Musicians from Manchester
15573,Musicians from Massachusetts
2693,Musicians from Melbourne
7069,Musicians from Miami
14743,Musicians from Milan
8765,Musicians from Milwaukee
3052,Musicians from Modena
14603,Musicians from Moscow
4126,Musicians from Mumbai
17383,Musicians from Munich
17848,Musicians from New Jersey
10508,"Musicians from New Rochelle, New York"
11184,Musicians from New York City
11889,"Musicians from Newark, New Jersey"
4753,Musicians from Newcastle upon Tyne
17944,"Musicians from Newton, Massachusetts"
7238,Musicians from Nizhny Novgorod
13421,Musicians from North Carolina
5326,"Musicians from Norwalk, Connecticut"
4420,Musicians from Nottinghamshire
6298,Musicians from Odesa
2282,Musicians from Oshawa
9707,Musicians from Oxfordshire
6104,"Musicians from Paisley, Renfrewshire"
112,"Musicians from Palm Springs, California"
10381,"Musicians from Palo Alto, California"
8523,Musicians from Paris
4702,"Musicians from Perth, Western Australia"
18558,"Musicians from Phoenix, Arizona"
13237,Musicians from Pittsburgh
5208,Musicians from Plovdiv
917,"Musicians from Plymouth, Devon"
11226,"Musicians from Portland, Oregon"
13427,"Musicians from Preston, Lancashire"
13494,"Musicians from Queens, New York"
3172,Musicians from Queensland
4074,"Musicians from Richmond, Indiana"
8584,Musicians from Rio de Janeiro (city)
3187,"Musicians from Rochester, New York"
9375,Musicians from Rotterdam
16236,Musicians from San Francisco
17075,Musicians from Saskatchewan
13304,Musicians from Seattle
7462,"Musicians from Shaker Heights, Ohio"
6142,Musicians from Sheffield
2369,Musicians from Shenyang
5303,Musicians from Shizuoka Prefecture
12406,Musicians from Somerset
8390,"Musicians from Somerville, New Jersey"
14627,Musicians from South Carolina
8898,"Musicians from Spokane, Washington"
8127,Musicians from St. Louis
13478,Musicians from Surrey
16320,Musicians from Sydney
17573,"Musicians from Tacoma, Washington"
1981,Musicians from Tasmania
14275,Musicians from Tavistock
17926,Musicians from Tel Aviv
9288,Musicians from Tokyo
2175,Musicians from Toronto
13092,Musicians from Turin
4570,Musicians from Tyne and Wear
14037,Musicians from Vancouver
15058,Musicians from Varanasi
8953,Musicians from Venice
18421,Musicians from Vermont
16285,Musicians from Victoria (Australia)
5049,Musicians from Vienna
11348,Musicians from Vilnius
10962,Musicians from Wembley
16027,Musicians from Wiltshire
14686,Musicians from Wolverhampton
8432,Musicians from Worcestershire
14179,Musicians from Wrocław
16595,Musicians from York
11751,Musicians from Yorkshire
9222,Musicians from the Metropolitan Borough of Bolton
13078,Musicians from the Metropolitan Borough of Oldham
3781,Musicians from the Province of Catania
10037,Musicians from the San Francisco Bay Area
17314,Musicians from Łódź
14105,Musicians who were peers
13515,Musicians with dyslexia
11956,Musicians with fictional stage personas
15627,Musicraft Records artists
17359,Muslim socialists
16265,Muslim writers
3041,Mythographers
12324,Mythopoeic writers
12322,Māori opera singers
6229,Māori-language singers
17000,NASA civilian astronauts
12643,NASA people
18172,NATO military personnel
14791,NBC Denis Compton Award recipients
3728,NC State Wolfpack men's swimmers
5921,NFL player missing current team parameter
14222,NIFL Premiership players
16070,NIHR Senior Investigators
2211,NME Awards winners
13380,NME writers
2561,NXP Semiconductors people
15071,Nagoya Grampus players
6760,Naipaul family
338,Nancy L. Schwartz Memorial Lecture speakers
15841,Nansen Refugee Award laureates
5258,Naomi Klein
14660,Narayanganj District
5168,Nastro d'Argento winners
15394,NatWest Group people
2243,National Autonomous University of Mexico alumni
16152,National Book Award winners
4832,National Bureau of Economic Research
3132,National Council for Civil Liberties people
7806,National Dance Award winners
6967,National Football League (South Africa) players
13662,National Gallery of Victoria Art School alumni
2143,National Health Service people
17116,National Heritage Fellowship winners
7180,National Hero of Armenia
17028,National Humanities Medal recipients
16896,National Institute of Dramatic Art alumni
1298,National Labour (UK) politicians
8430,National League for Democracy politicians
444,National Medal of Science laureates
13743,National Medal of Technology recipients
7063,National Portrait Gallery (London) person ID different from Wikidata
17897,National Portrait Gallery (London) person ID not in Wikidata
12963,National Portrait Gallery (London) person ID same as Wikidata
18790,National Post people
15870,National Prize for Literature (Chile) winners
17174,National Security Agency people
5004,National Society for the Prevention of Cruelty to Children people
14367,National Symphony Orchestra
17769,National Trust
717,National Trust people
1939,National Trust properties in England
12752,National Trust properties in Northern Ireland
2277,National Trust properties in Wales
18140,National Union of Distributive and Allied Workers-sponsored MPs
3496,National Union of Mineworkers-sponsored MPs
4049,National Union of Railwaymen-sponsored MPs
14464,National University of Music Bucharest alumni
363,National Youth Theatre members
10851,National trusts
5076,Naturalised citizens of Australia
12348,Naturalised citizens of Austria
2462,Naturalised citizens of Iceland
4710,Naturalised citizens of Ireland
12800,Naturalised citizens of Italy
12340,Naturalised citizens of Switzerland
16278,Naturalised citizens of the Netherlands
14784,Naturalised citizens of the United Kingdom
10014,Naturalized citizens of Canada
12818,Naturalized citizens of Chile
16439,Naturalized citizens of Croatia
3641,Naturalized citizens of France
16505,Naturalized citizens of Germany
11104,Naturalized citizens of Greece
462,Naturalized citizens of Mexico
12850,Naturalized citizens of Monaco
4842,Naturalized citizens of Poland
7600,Naturalized citizens of Serbia
8647,Naturalized citizens of the State of Palestine
10639,Naturalized citizens of the United States
6132,Nature conservation organisations based in the United Kingdom
9610,Nature photographers
16745,Nautical historical novelists
17687,Nautilus Book Award winners
14796,Naval War College Review people
6081,Naxos Records artists
10439,Nazi Party members
7139,Naïve Records artists
7120,Nebula Award winners
9447,Needlework
3039,Neighborhood Playhouse School of the Theatre alumni
12082,Neil Kinnock
12569,Neo-Luddites
17003,Neo-Stalinists
4236,Neo-expressionist artists
16922,Neo-futurism architecture
12501,Nerd culture
11289,Neuro-linguistic programming writers
12642,Neurological disease deaths in California
7077,Neurological disease deaths in England
12219,Neurological disease deaths in New Jersey
16171,Neurological disease deaths in New York (state)
14884,Neurological disease deaths in Ontario
1723,Neurological disease deaths in Queensland
9299,Neurological disease deaths in Switzerland
2642,Neurophysiologists
10317,New Age writers
2108,New America (organization)
3786,New Atheism
2751,New College of the Humanities
7118,New Cross Rangers riders
13411,New Democracy (Greece) MEPs
2038,New Jersey Democrats
18242,New Jersey Hall of Fame inductees
5899,New Jersey Republicans
12614,New Jersey culture
10743,New Naturalist writers
12539,New Rochelle High School alumni
8701,New South Wales cricketers
9368,New Star of the Year (Actor) Golden Globe winners
17196,New Star of the Year (Actress) Golden Globe winners
7266,New Statesman people
3312,New Trier High School alumni
1358,New York (state) Democrats
16238,New York (state) Republicans
11792,New York (state) lawyers
17053,New York (state) socialists
9637,New York College of Music alumni
1211,New York Daily News people
13892,New York Drama Critics' Circle Award winners
12146,New York Herald Tribune people
14417,New York Military Academy alumni
10456,New York Press people
18490,New York Times topic template using Wikidata
7559,New York University Grossman School of Medicine faculty
10642,New York University School of Law faculty
4611,New York University Stern School of Business alumni
1099,New York University alumni
13884,New York University faculty
10502,New York Yankees
9282,New York blues musicians
14821,New Zealand Buddhists
17977,New Zealand Commanders of the Order of the British Empire
2805,New Zealand Dames Commander of the Order of the British Empire
6252,New Zealand Knights Commander of the Order of the British Empire
13621,New Zealand Knights of the Garter
9989,New Zealand Members of the Order of the British Empire
9744,New Zealand Members of the Order of the Companions of Honour
9504,New Zealand Māori carvers
1711,New Zealand Officers of the Order of the British Empire
3387,New Zealand Rhodes Scholars
18677,New Zealand activists
18830,New Zealand and the Antarctic
7630,New Zealand autobiographers
14297,New Zealand bass-baritones
14633,New Zealand beekeepers
297,New Zealand chefs
13878,New Zealand crime fiction writers
2513,New Zealand emigrants to Australia
2239,New Zealand emigrants to England
18854,New Zealand emigrants to the United Kingdom
12759,New Zealand expatriates in Australia
6743,New Zealand expatriates in England
7991,New Zealand expatriates in the United States
8777,New Zealand explorers
13114,New Zealand film actresses
17466,New Zealand humanitarians
18062,New Zealand journalists
4402,New Zealand lexicographers
17809,New Zealand male film actors
1895,New Zealand male writers
12584,New Zealand memoirists
2652,New Zealand military personnel of World War II
3704,New Zealand motorcycle racers
14434,New Zealand mountain climbers
9896,New Zealand mystery writers
1212,New Zealand operatic sopranos
7365,New Zealand ornithologists
13054,New Zealand people of English descent
5786,New Zealand people of Irish descent
10056,New Zealand psychologists
4131,New Zealand recipients of the Polar Medal
7246,New Zealand speedway riders
9345,New Zealand stage actresses
14269,New Zealand summiters of Mount Everest
4974,New Zealand television actresses
6590,New Zealand television chefs
17942,New Zealand theatre directors
7358,New Zealand women comedians
9424,New Zealand women novelists
7536,New Zealand women pop singers
13855,New Zealand women psychologists
6940,New Zealand women theatre directors
1740,New Zealand writers
13668,New-age composers
17718,New-age pianists
2473,Newark Arts High School alumni
583,Newcastle Blue Star F.C. players
14068,Newcastle Diamonds riders
1533,Newcastle United F.C. managers
10444,Newman family (music)
7032,Newman/Haas Racing drivers
481,Newport Harbor High School alumni
5546,News & Documentary Emmy Award winners
5744,News of the World people
12703,Nexstar Media Group
15007,Ngāti Maniapoto people
3034,Ngāti Raukawa people
2685,Niazi family
2164,Nichiren Buddhists
1247,Nick Clegg
11720,Nickalls family
13342,Nicola Sturgeon
7820,Nicole Kidman
15226,Nicolson family
2430,Nieman Fellows
16916,Nigerian adoptees
9374,Nigerian emigrants to the United Kingdom
164,Nigerian people of British descent
11609,Nigerian recipients of British titles
15431,Nigerian sculptors
11698,Nightclub owners
15509,Nightlife in New York City
1772,Nixon's Enemies List
9106,No local image but image on Wikidata
460,Nobel Peace Prize laureates
5799,Nobel laureates from Northern Ireland
8994,Nobel laureates in Chemistry
8179,Nobel laureates in Economics
17997,Nobel laureates in Literature
17297,Nobel laureates in Physics
914,Nobel laureates in Physiology or Medicine
8426,Nobelprize template using Wikidata property P8024
14307,Nobility stubs
3362,Noble titles created for UK MPs
10581,Noble titles created in 1942
13527,Noel Gallagher
5242,Noel Gallagher's High Flying Birds members
2104,Nominated members of the Rajya Sabha
4905,Non-Darwinian evolution
3794,Non-fiction environmental writers
6581,Non-fiction outdoors writers
4059,Nonesuch Records artists
4358,Nonviolence advocates
13418,Norfolk cricketers
2213,North American Soccer League (1968–1984) commentators
12211,North American Soccer League (1968–1984) executives
971,North Irish Horse officers
650,North Pole
9669,North Staffordshire Regiment soldiers
2607,North v South cricketers
1956,Northamptonshire Yeomanry officers
7716,Northamptonshire cricketers
12546,Northeastern High School (Michigan) alumni
10115,Northern Ballet Theatre
1419,Northern Ireland Government ministers
15363,Northern Ireland MLAs 1998–2003
17994,Northern Ireland MLAs 2003–2007
3038,Northern Ireland MLAs 2007–2011
15009,Northern Ireland MPAs 1982–1986
266,Northern Ireland Office junior ministers
11761,Northern Ireland Women's Coalition MLAs
17593,Northern Ireland international footballers
11625,Northern Ireland national football team managers
14528,Northern Ireland peace process
7532,Northern Ireland politicians convicted of crimes
18432,Northerns cricketers
3232,Northfleet United F.C. players
16899,Northwestern University Pritzker School of Law alumni
799,Northwestern University School of Communication alumni
11718,Northwestern University faculty
11333,Norwegian Army personnel of World War II
5200,Norwegian agnostics
10210,Norwegian atheists
3697,Norwegian documentary filmmakers
7766,Norwegian economists
10556,Norwegian ethnographers
4808,Norwegian expatriates in Belgium
11345,Norwegian explorers
15867,Norwegian operatic sopranos
13388,Norwich City F.C.
17613,Norwich City F.C. players
12682,Nottingham Forest F.C. players
8098,Nottingham R.F.C. players
10195,Nottinghamshire cricketers
2144,Novelists from Assam
6108,Novelists from Connecticut
6831,Novelists from Cornwall
16294,Novelists from Florida
17738,Novelists from Georgia (U.S. state)
4633,Novelists from Himachal Pradesh
15094,Novelists from Illinois
17700,Novelists from Kerala
3584,Novelists from Liverpool
5950,Novelists from Louisiana
2329,Novelists from Maharashtra
10360,Novelists from Maine
8273,Novelists from Massachusetts
18363,Novelists from Meghalaya
10806,Novelists from Minnesota
7548,Novelists from Mississippi
13642,Novelists from New Jersey
17970,Novelists from New York (state)
9962,Novelists from North Carolina
15636,Novelists from Pennsylvania
18233,Novelists from South Carolina
6478,Novelists from Virginia
3991,Novelists from West Bengal
18739,Novels by Nicholas Monsarrat
6493,Novels by Nigel Balchin
4061,Nu jazz musicians
672,Nu-disco musicians
9489,Nuclear magnetic resonance
8016,Nucleus (band) members
13112,Number theorists
14820,Nuns and art
530,Nurses from London
11553,O. Henry Award winners
8453,Oasis (1980s band) members
906,Oasis (band) members
14546,Obama administration cabinet members
4779,Oberlin College alumni
12112,Oberlin Conservatory of Music faculty
16071,Obie Award recipients
12706,Obituary writers
14102,Objectivists
4653,Obscenity controversies in literature
17017,Obscenity controversies in television
10291,Occidental College alumni
14614,Ocean County College alumni
4672,Ocean rowers
8613,Odesa Jews
14663,Officers Crosses of the Order of Merit of the Federal Republic of Germany
8711,Officers in English police forces
13652,Officers of the Legion of Merit
13648,Officers of the National Order of Quebec
3086,Officers of the Order of Agricultural Merit
3886,Officers of the Order of Australia
18884,Officers of the Order of Canada
10716,Officers of the Order of Orange-Nassau
9800,Officers of the Order of Polonia Restituta
5914,Officers of the Order of St John
6694,Officers of the Order of the British Empire
7840,Officers of the Order of the Crown (Belgium)
14191,Officers of the Ordre du Mérite Maritime
16960,Officers of the Ordre national du Mérite
16774,Officers' Training Corps officers
13822,Official Monster Raving Loony Party
14358,Official website different in Wikidata and Wikipedia
7563,Official website not in Wikidata
5361,Officiers of the Légion d'honneur
357,Officiers of the Ordre des Arts et des Lettres
10825,Offshore radio broadcasters
17030,Ohio Democrats
929,Ohio University alumni
17292,Ohtli Award winners
11964,Okeh Records artists
12671,Oklahoma City Blue Devils members
10576,Old Right (United States)
12838,Olivier family
5645,Olof Palme Prize laureates
13820,Olympic Federation of Ireland officials
7046,Olympic Games broadcasters
454,Olympic athletes of Great Britain
6087,Olympic athletes of Jamaica
9476,Olympic bobsledders of Canada
15714,Olympic boxers of Great Britain
14235,Olympic boxers of the United States
6776,Olympic bronze medalists in athletics (track and field)
14409,Olympic bronze medalists in swimming
1893,Olympic bronze medallists for Great Britain
4583,Olympic cyclists of Great Britain
9622,Olympic divers of Great Britain
9839,Olympic equestrians of Great Britain
2797,Olympic female javelin throwers
84,Olympic female sprinters
12369,Olympic fencers of Ireland
8931,Olympic figure skaters of Great Britain
10912,Olympic gold medalists for Jamaica
8124,Olympic gold medalists for the United States in boxing
3343,Olympic gold medalists for the United States in track and field
17352,Olympic gold medalists in athletics (track and field)
13836,Olympic gold medalists in swimming
11538,Olympic gold medallists for Great Britain
7650,Olympic heptathletes
17085,Olympic medalists in boxing
12468,Olympic medalists in cycling
9743,Olympic medalists in diving
15053,Olympic medalists in equestrian
10035,Olympic medalists in figure skating
18868,Olympic medalists in rowing
16860,Olympic medalists in sailing
13704,Olympic medalists in shooting
2711,Olympic medalists in tennis
9971,Olympic rowers of Great Britain
7832,Olympic sailors of Great Britain
12500,Olympic shooters of Great Britain
13448,Olympic silver medalists for Jamaica
1137,Olympic silver medalists in athletics (track and field)
4716,Olympic silver medalists in swimming
830,Olympic silver medallists for Great Britain
13830,Olympic swimmers of Great Britain
11006,Olympic tennis players of Great Britain
14070,Olympic tennis players of the United States
8394,Olympic weightlifters of Great Britain
12183,Olympic wheelchair racers of Great Britain
5266,Olympics.com template with same ID for Olympic.org
4213,Ondaatje family
11404,One Day International hat-trick takers
10497,Onslow family
14920,Ontologists
9425,Open Library ID different from Wikidata
9970,Open Library ID not in Wikidata
5146,Open Library ID same as Wikidata
8999,Opera North
15908,Opera biography stubs
16476,Opera critics
8694,Opera crossover singers
2023,Opera designers
6714,Opera directors
413,Opera in Scotland
1476,Opera managers
15119,"Operalia, The World Opera Competition prize-winners"
15125,Operatic bass-baritones
2935,Operatic basses
1729,Operatic contraltos
18371,Operatic countertenors
11248,Operatic mezzo-sopranos
18547,Operatic sopranos from Northern Ireland
13280,Operation Overlord
1546,Operation Pegasus
5280,Operation Yewtree
11096,Opinion journalists
7534,Opposition to apartheid in South Africa
6558,Oracle Racing sailors
597,Oratorio composers
8134,Orchestra leaders
5696,Ordained peers
8986,Order of Arts and Letters of Spain recipients
6624,Order of Isabella the Catholic
3419,Order of Leopold (Belgium)
11403,Order of Saint John (chartered 1888)
4225,Order of Saint Olav
16312,Order of the Baobab
4347,"Organ Scholars of King's College, Cambridge"
2450,Organ improvisers
9609,Organic chocolate
10883,Organic farming organizations
2589,Organic gardeners
9065,Organisations based in Swindon
17477,Organist stubs
1237,Organizations established in 1895
616,Organized crime novelists
14272,Orienteering in the United Kingdom
16046,Orienteering innovators
10464,Orphaned articles from May 2015
6578,Osmania University alumni
6575,Ottawa Citizen people
12489,"Outstanding Debut by a British Writer, Director or Producer BAFTA Award winners"
7024,Outstanding Narrator Primetime Emmy Award winners
1008,Outstanding Performance by a Cast in a Motion Picture Screen Actors Guild Award winners
17472,Outstanding Performance by a Female Actor in a Drama Series Screen Actors Guild Award winners
16596,Outstanding Performance by a Female Actor in a Leading Role Screen Actors Guild Award winners
9191,Outstanding Performance by a Female Actor in a Miniseries or Television Movie Screen Actors Guild Award winners
17476,Outstanding Performance by a Female Actor in a Supporting Role Screen Actors Guild Award winners
725,Outstanding Performance by a Lead Actor in a Comedy Series Primetime Emmy Award winners
14712,Outstanding Performance by a Lead Actor in a Drama Series Primetime Emmy Award winners
15097,Outstanding Performance by a Lead Actor in a Miniseries or Movie Primetime Emmy Award winners
6269,Outstanding Performance by a Lead Actress in a Drama Series Primetime Emmy Award winners
13752,Outstanding Performance by a Lead Actress in a Miniseries or Movie Primetime Emmy Award winners
6156,Outstanding Performance by a Male Actor in a Drama Series Screen Actors Guild Award winners
18263,Outstanding Performance by a Male Actor in a Leading Role Screen Actors Guild Award winners
12668,Outstanding Performance by a Male Actor in a Miniseries or Television Movie Screen Actors Guild Award winners
7998,Outstanding Performance by a Male Actor in a Supporting Role Screen Actors Guild Award winners
1535,Outstanding Performance by a Supporting Actor in a Drama Series Primetime Emmy Award winners
1138,Outstanding Performance by a Supporting Actor in a Miniseries or Movie Primetime Emmy Award winners
18302,Outstanding Performance by a Supporting Actress in a Drama Series Primetime Emmy Award winners
12966,Outstanding Performance by a Supporting Actress in a Miniseries or Movie Primetime Emmy Award winners
3578,Outstanding Performance by an Ensemble in a Drama Series Screen Actors Guild Award winners
4092,Over 30s v Under 30s cricketers
9437,Owners of Epsom Derby winners
2973,Oxford Professors of Poetry
6872,Oxford United F.C. non-playing staff
10085,Oxford University Boat Club rowers
5814,Oxford University cricketers
11578,Oxford and Cambridge Universities cricketers
15757,Oxfordshire and Buckinghamshire Light Infantry officers
13189,PBS people
10620,PEN International
6151,PEN Oakland/Josephine Miles Literary Award winners
8892,PEN/Faulkner Award for Fiction winners
4001,PEN/Malamud Award winners
17673,PGA Tour Champions golfers
11611,PSV Eindhoven managers
7151,Pablo Records artists
9415,Pacemakers
3942,Pacifist feminists
14429,Paddington Bear
13457,Paganini Competition prize-winners
7092,Pages containing London Gazette template with parameter supp set to y
12608,Pages containing links to subscription-only content
16061,Pages containing links to subscription-or-libraries content
2806,Pages including recorded pronunciations
4051,Pages using Infobox sportsperson with unknown parameters
3661,Pages using Infobox writer with unknown parameters
11075,Pages using New York City Subway service templates
1851,Pages using Sister project links with default search
17044,Pages using Sister project links with hidden wikidata
1243,Pages using Sister project links with wikidata mismatch
9893,Pages using Sister project links with wikidata namespace mismatch
15902,Pages using Template:Post-nominals with customized linking
18503,Pages using Template:Post-nominals with missing parameters
2116,Pages using cite ODNB with both doi and id parameters
8421,Pages using cite ODNB with id parameter
10188,Pages using cite court with unknown parameters
12980,Pages using collapsible list without both background and text-align in titlestyle
2672,Pages using div col with small parameter
11144,Pages using embedded infobox templates with the title parameter
2033,Pages using infobox comedian with unknown parameters
14407,Pages using infobox football biography with a module
13791,Pages using infobox military person with embed
16507,Pages using infobox military person with unknown parameters
12786,Pages using infobox musical artist with associated acts
13100,Pages using infobox officeholder with ambassador from or minister from
4128,Pages using infobox officeholder with unknown parameters
15146,Pages using infobox organization with motto or pledge
17242,Pages using infobox person with multiple agents
18673,Pages using infobox person with multiple credits
3182,Pages using infobox person with multiple employers
18208,Pages using infobox person with multiple labels
1756,Pages using infobox person with multiple organizations
10492,Pages using infobox person with multiple parents
5909,Pages using infobox person with multiple partners
16090,Pages using infobox person with multiple spouses
4682,Pages using infobox person with unknown parameters
18054,Pages using infobox philosopher with embed equal yes
7918,Pages using infobox rugby biography with multiple amateurclubs
18649,Pages using infobox rugby biography with multiple nationalteam
3229,Pages using infobox rugby biography with multiple refereecomps
7567,Pages using infobox scientist with unknown parameters
5728,Pages using infobox swimmer with national team parameter
16588,Pages using infobox swimmer with show-medals enabled
18671,Pages using infobox templates with ignored data cells
3943,Pages using infobox tennis biography with tennishofid
5179,Pages using infobox university with the affiliations parameter
7131,Pages using multiple image with auto scaled images
2223,Pages using national squad without sport or team link
16945,Pages using navbox columns without the first column
1776,Pages using ordination template and denomination parameter
9987,Pages using sidebar with the child parameter
12360,Pages using small with an empty input parameter
15014,Pages using the EasyTimeline extension
1132,Pages using the Graph extension
7529,Pages with ISBN errors
14941,Pages with disabled graphs
17525,Pages with incorrect ref formatting
6134,Pages with login required references or sources
1392,Pages with missing ISBNs
6924,Pages with non-numeric formatnum arguments
4228,Pages with reference errors
8260,Pages with template ordination embedded
1331,Pages with timeline metadata
11428,Painters from London
18737,Painters from New York City
1183,Pakenham family
14818,Pakistan Command and Staff College alumni
7379,Pakistan International Airlines cricketers
8813,Pakistan One Day International cricketers
4638,Pakistan Tehreek-e-Insaf MNAs
547,Pakistan Test cricket captains
4782,Pakistan Test cricketers
2380,Pakistani MNAs 2002–2007
2256,Pakistani MNAs 2013–2018
